".model","date","value","real.value"
"arima3",2012 W02,N(-0.13, 0.0026),-0.0674594183973642
"arima3",2012 W03,N(-0.082, 0.0026),-0.108459884739916
"arima3",2012 W04,N(-0.17, 0.0026),-0.0298941090216696
"arima3",2012 W05,N(-0.072, 0.0026),-0.236735335291173
"arima3",2012 W06,N(-0.11, 0.0026),-0.0850294163920472
"arima3",2012 W07,N(-0.11, 0.0026),-0.076405989556552
"arima3",2012 W08,N(-0.043, 0.0026),-0.227159896468136
"arima3",2012 W09,N(-0.14, 0.0026),-0.0695726011073471
"arima3",2012 W10,N(-0.08, 0.0026),-0.0851045076106727
"arima3",2012 W11,N(-0.074, 0.0026),-0.142605183431598
"arima3",2012 W12,N(-0.046, 0.0026),-0.0777206711567071
"arima3",2012 W13,N(-0.11, 0.0026),-0.0466368004839042
"arima3",2012 W14,N(-0.11, 0.0026),-0.0577525495342281
"arima3",2012 W15,N(-0.087, 0.0026),-0.0367975431796701
"arima3",2012 W16,N(-0.071, 0.0026),-0.0169999054334681
"arima3",2012 W17,N(-0.0021, 0.0026),-0.0911854751020699
"arima3",2012 W18,N(-0.0033, 0.0026),-0.0788853626674946
"arima3",2012 W19,N(0.051, 0.0026),NA
"arima3",2012 W20,N(0.077, 0.0026),NA
"arima3",2012 W21,N(0.1, 0.0026),NA
"arima3",2012 W22,N(0.14, 0.0026),0.140628513296788
"arima3",2012 W23,N(0.2, 0.0026),0.224448324059714
"arima3",2012 W24,N(0.19, 0.0026),0.038696111163225
"arima3",2012 W25,N(0.18, 0.0026),0.0807543716722628
"arima3",2012 W26,N(0.15, 0.0026),0.0605557795266215
"arima3",2012 W27,N(0.12, 0.0026),NA
"arima3",2012 W28,N(0.074, 0.0026),NA
"arima3",2012 W29,N(0.15, 0.0026),NA
"arima3",2012 W30,N(0.17, 0.0026),NA
"arima3",2012 W31,N(0.15, 0.0026),NA
"arima3",2012 W32,N(0.16, 0.0026),NA
"arima3",2012 W33,N(0.14, 0.0026),NA
"arima3",2012 W34,N(0.14, 0.0026),NA
"arima3",2012 W35,N(0.14, 0.0026),NA
"arima3",2012 W36,N(0.16, 0.0026),NA
"arima3",2012 W37,N(0.14, 0.0026),NA
"arima3",2012 W38,N(0.14, 0.0026),NA
"arima3",2012 W39,N(0.12, 0.0026),NA
"arima3",2012 W40,N(0.13, 0.0026),NA
"arima3",2012 W41,N(0.067, 0.0026),NA
"arima3",2012 W42,N(0.15, 0.0026),NA
"arima3",2012 W43,N(0.04, 0.0026),NA
"arima3",2012 W44,N(0.1, 0.0026),NA
"arima3",2012 W45,N(-0.062, 0.0026),NA
"arima3",2012 W46,N(-0.11, 0.0026),NA
"arima3",2012 W47,N(-0.027, 0.0026),NA
"arima3",2012 W48,N(-0.05, 0.0026),NA
"arima3",2012 W49,N(-0.005, 0.0026),NA
"arima3",2012 W50,N(-0.055, 0.0026),NA
"arima3",2012 W51,N(-0.11, 0.0026),NA
"arima3",2012 W52,N(-0.1, 0.0026),NA
"arima3",2013 W01,N(-0.19, 0.0026),NA
"arima3",2013 W02,N(-0.17, 0.0026),NA
"arima3",2013 W03,N(-0.19, 0.0026),NA
"arima3",2013 W04,N(-0.082, 0.0026),NA
"arima3",2013 W05,N(-0.12, 0.0026),NA
"arima3",2013 W06,N(-0.1, 0.0026),NA
"arima3",2013 W07,N(-0.094, 0.0026),NA
"arima3",2013 W08,N(-0.028, 0.0026),NA
"arima3",2013 W09,N(-0.035, 0.0026),NA
"arima3",2013 W10,N(-0.0029, 0.0026),NA
"arima3",2013 W11,N(-0.039, 0.0026),NA
"arima3",2013 W12,N(-0.026, 0.0026),NA
"arima3",2013 W13,N(-0.025, 0.0026),NA
"arima3",2013 W14,N(-0.067, 0.0026),NA
"arima3",2013 W15,N(-0.016, 0.0026),NA
"arima3",2013 W16,N(0.035, 0.0026),NA
"arima3",2013 W17,N(0.049, 0.0026),NA
"arima3",2013 W18,N(0.059, 0.0026),NA
"arima3",2013 W19,N(0.16, 0.0026),NA
"arima3",2013 W20,N(0.11, 0.0026),NA
"arima3",2013 W21,N(0.17, 0.0026),NA
"arima3",2013 W22,N(0.21, 0.0026),NA
"arima3",2013 W23,N(0.17, 0.0026),0.0560457306912775
"arima3",2013 W24,N(0.23, 0.0026),0.041649016474315
"arima3",2013 W25,N(0.21, 0.0026),0.0502469019760406
"arima3",2013 W26,N(0.22, 0.0026),0.0854055939742115
"arima3",2013 W27,N(0.17, 0.0026),NA
"arima3",2013 W28,N(0.16, 0.0026),NA
"arima3",2013 W29,N(0.052, 0.0026),NA
"arima3",2013 W30,N(0.071, 0.0026),NA
"arima3",2013 W31,N(0.085, 0.0026),NA
"arima3",2013 W32,N(0.1, 0.0026),NA
"arima3",2013 W33,N(-0.04, 0.0026),NA
"arima3",2013 W34,N(0.06, 0.0026),NA
"arima3",2013 W35,N(0.027, 0.0026),NA
"arima3",2013 W36,N(0.021, 0.0026),NA
"arima3",2013 W37,N(0.04, 0.0026),NA
"arima3",2013 W38,N(-0.0083, 0.0026),NA
"arima3",2013 W39,N(0.039, 0.0026),NA
"arima3",2013 W40,N(0.031, 0.0026),NA
"arima3",2013 W41,N(0.047, 0.0026),NA
"arima3",2013 W42,N(0.073, 0.0026),NA
"arima3",2013 W43,N(0.069, 0.0026),NA
"arima3",2013 W44,N(0.0054, 0.0026),NA
"arima3",2013 W45,N(-0.011, 0.0026),NA
"arima3",2013 W46,N(0.023, 0.0026),NA
"arima3",2013 W47,N(-0.047, 0.0026),NA
"arima3",2013 W48,N(-0.049, 0.0026),NA
"arima3",2013 W49,N(-0.073, 0.0026),NA
"arima3",2013 W50,N(-0.19, 0.0026),NA
"arima3",2013 W51,N(-0.087, 0.0026),NA
"arima3",2013 W52,N(-0.11, 0.0026),NA
"arima3",2014 W01,N(-0.088, 0.0026),NA
"arima3",2014 W02,N(-0.19, 0.0026),NA
"arima3",2014 W03,N(-0.12, 0.0026),NA
"arima3",2014 W04,N(-0.17, 0.0026),NA
"arima3",2014 W05,N(-0.013, 0.0026),NA
"arima3",2014 W06,N(-0.013, 0.0026),NA
"arima3",2014 W07,N(-0.043, 0.0026),NA
"arima3",2014 W08,N(-0.021, 0.0026),NA
"arima3",2014 W09,N(-0.046, 0.0026),NA
"arima3",2014 W10,N(-0.0031, 0.0026),NA
"arima3",2014 W11,N(0.057, 0.0026),NA
"arima3",2014 W12,N(0.069, 0.0026),NA
"arima3",2014 W13,N(0.065, 0.0026),NA
"arima3",2014 W14,N(0.049, 0.0026),NA
"arima3",2014 W15,N(0.024, 0.0026),NA
"arima3",2014 W16,N(0.095, 0.0026),NA
"arima3",2014 W17,N(0.034, 0.0026),NA
"arima3",2014 W18,N(-0.0092, 0.0026),NA
"arima3",2014 W19,N(0.056, 0.0026),NA
"arima3",2014 W20,N(0.1, 0.0026),NA
"arima3",2014 W21,N(0.1, 0.0026),NA
"arima3",2014 W22,N(0.15, 0.0026),NA
"arima3",2014 W23,N(0.1, 0.0026),-0.0743911064883182
"arima3",2014 W24,N(0.17, 0.0026),0.135332171109115
"arima3",2014 W25,N(0.2, 0.0026),0.115292855165026
"arima3",2014 W26,N(0.18, 0.0026),0.11819883563476
"arima3",2014 W27,N(0.17, 0.0026),NA
"arima3",2014 W28,N(0.19, 0.0026),NA
"arima3",2014 W29,N(0.015, 0.0026),NA
"arima3",2014 W30,N(0.043, 0.0026),NA
"arima3",2014 W31,N(0.011, 0.0026),NA
"arima3",2014 W32,N(0.064, 0.0026),NA
"arima3",2014 W33,N(0.059, 0.0026),NA
"arima3",2014 W34,N(0.14, 0.0026),NA
"arima3",2014 W35,N(0.11, 0.0026),NA
"arima3",2014 W36,N(0.064, 0.0026),NA
"arima3",2014 W37,N(0.086, 0.0026),NA
"arima3",2014 W38,N(0.11, 0.0026),NA
"arima3",2014 W39,N(0.14, 0.0026),NA
"arima3",2014 W40,N(0.083, 0.0026),NA
"arima3",2014 W41,N(0.05, 0.0026),NA
"arima3",2014 W42,N(0.048, 0.0026),NA
"arima3",2014 W43,N(0.086, 0.0026),NA
"arima3",2014 W44,N(0.022, 0.0026),NA
"arima3",2014 W45,N(0.00045, 0.0026),NA
"arima3",2014 W46,N(-0.0039, 0.0026),NA
"arima3",2014 W47,N(-0.048, 0.0026),NA
"arima3",2014 W48,N(-0.064, 0.0026),NA
"arima3",2014 W49,N(-0.053, 0.0026),NA
"arima3",2014 W50,N(-0.22, 0.0026),NA
"arima3",2014 W51,N(-0.099, 0.0026),NA
"arima3",2014 W52,N(-0.11, 0.0026),NA
"arima3",2015 W01,N(-0.12, 0.0026),NA
"arima3",2015 W02,N(-0.13, 0.0026),NA
"arima3",2015 W03,N(-0.13, 0.0026),NA
"arima3",2015 W04,N(-0.097, 0.0026),NA
"arima3",2015 W05,N(-0.12, 0.0026),NA
"arima3",2015 W06,N(-0.15, 0.0026),NA
"arima3",2015 W07,N(-0.063, 0.0026),NA
"arima3",2015 W08,N(-0.092, 0.0026),NA
"arima3",2015 W09,N(-0.052, 0.0026),NA
"arima3",2015 W10,N(-0.064, 0.0026),NA
"arima3",2015 W11,N(-0.0044, 0.0026),NA
"arima3",2015 W12,N(-0.086, 0.0026),NA
"arima3",2015 W13,N(-0.26, 0.0026),NA
"arima3",2015 W14,N(-0.036, 0.0026),NA
"arima3",2015 W15,N(-0.032, 0.0026),NA
"arima3",2015 W16,N(0.025, 0.0026),NA
"arima3",2015 W17,N(0.032, 0.0026),NA
"arima3",2015 W18,N(0.033, 0.0026),NA
"arima3",2015 W19,N(0.079, 0.0026),NA
"arima3",2015 W20,N(0.048, 0.0026),NA
"arima3",2015 W21,N(0.11, 0.0026),NA
